lead_id,company_name,contact_name,email,job_title,industry,company_size,region,source_channel,decision_maker,created_date,last_activity,last_touch,page_views_7d,emails_opened_30d,calls_last_30d,days_in_pipeline,deal_size_estimate,lead_score,conversion_probability,converted
LEAD_000001,E-commerce Company 1,Contact 1,contact1@company1.com,VP Sales,E-commerce,5000+,APAC,paid,False,2025-05-08,2025-06-06,content_download,5,2,2,15,1305,47,0.47,0
LEAD_000002,SaaS Company 2,Contact 2,contact2@company2.com,Sales Manager,SaaS,51-200,NA,paid,True,2025-04-12,2025-04-19,email_open,3,4,1,54,1052,47,0.47,1
LEAD_000003,E-commerce Company 3,Contact 3,contact3@company3.com,CTO,E-commerce,5000+,APAC,direct,True,2024-11-07,2024-11-22,trial_signup,7,2,2,135,7993,60,0.603,1
LEAD_000004,Manufacturing Company 4,Contact 4,contact4@company4.com,Operations Manager,Manufacturing,51-200,LATAM,referral,True,2025-05-01,2025-05-02,webinar,4,3,0,96,929,25,0.259,0
LEAD_000005,SaaS Company 5,Contact 5,contact5@company5.com,IT Director,SaaS,5000+,EU,organic,False,2025-04-19,2025-05-08,pricing_page,5,1,1,103,3556,52,0.526,1
LEAD_000006,E-commerce Company 6,Contact 6,contact6@company6.com,Sales Manager,E-commerce,5000+,NA,organic,False,2024-12-13,2025-01-06,case_study_view,7,0,3,123,28490,64,0.645,1
LEAD_000007,Finance Company 7,Contact 7,contact7@company7.com,VP Sales,Finance,1-10,LATAM,organic,False,2025-01-15,2025-02-12,pricing_page,9,0,3,9,115,62,0.625,0
LEAD_000008,Healthcare Company 8,Contact 8,contact8@company8.com,Sales Manager,Healthcare,1001-5000,LATAM,referral,True,2024-10-14,2024-10-31,trial_signup,8,6,3,115,5489,84,0.848,0
LEAD_000009,Healthcare Company 9,Contact 9,contact9@company9.com,Operations Manager,Healthcare,5000+,EU,organic,True,2025-02-14,2025-03-07,demo_request,1,0,3,116,2837,68,0.682,1
LEAD_000010,SaaS Company 10,Contact 10,contact10@company10.com,CTO,SaaS,51-200,MEA,paid,True,2025-04-09,2025-05-05,webinar,13,5,1,115,943,63,0.637,0
LEAD_000011,E-commerce Company 11,Contact 11,contact11@company11.com,CFO,E-commerce,1-10,MEA,referral,True,2025-01-01,2025-01-23,product_tour,7,5,3,92,620,52,0.527,1
LEAD_000012,Healthcare Company 12,Contact 12,contact12@company12.com,Marketing Director,Healthcare,201-1000,NA,direct,True,2025-04-16,2025-05-12,demo_request,8,2,0,176,1427,56,0.567,0
LEAD_000013,SaaS Company 13,Contact 13,contact13@company13.com,CEO,SaaS,5000+,LATAM,paid,False,2024-10-19,2024-11-08,product_tour,1,1,2,12,8395,46,0.46,1
LEAD_000014,SaaS Company 14,Contact 14,contact14@company14.com,IT Director,SaaS,1-10,NA,organic,False,2025-04-21,2025-05-10,email_open,3,1,2,164,772,42,0.428,0
LEAD_000015,Healthcare Company 15,Contact 15,contact15@company15.com,Operations Manager,Healthcare,11-50,APAC,organic,False,2024-11-02,2024-11-26,contact_form,8,3,2,123,945,56,0.564,1
LEAD_000016,Consulting Company 16,Contact 16,contact16@company16.com,IT Director,Consulting,5000+,MEA,social,False,2025-06-25,2025-07-21,content_download,6,1,1,145,695,36,0.362,0
LEAD_000017,SaaS Company 17,Contact 17,contact17@company17.com,Operations Manager,SaaS,201-1000,EU,organic,True,2025-04-07,2025-05-04,product_tour,4,2,0,58,210,30,0.309,0
LEAD_000018,SaaS Company 18,Contact 18,contact18@company18.com,VP Sales,SaaS,51-200,MEA,paid,False,2024-11-27,2024-12-15,case_study_view,6,2,3,161,2315,67,0.678,1
LEAD_000019,Finance Company 19,Contact 19,contact19@company19.com,VP Sales,Finance,5000+,NA,referral,False,2024-10-29,2024-11-28,email_open,7,0,0,95,2167,36,0.365,0
LEAD_000020,Retail Company 20,Contact 20,contact20@company20.com,VP Sales,Retail,11-50,EU,referral,False,2025-07-11,2025-07-25,demo_request,11,3,3,30,1516,74,0.745,1
LEAD_000021,Healthcare Company 21,Contact 21,contact21@company21.com,VP Sales,Healthcare,5000+,NA,direct,False,2025-02-13,2025-02-23,webinar,3,0,1,25,856,36,0.368,1
LEAD_000022,SaaS Company 22,Contact 22,contact22@company22.com,Sales Manager,SaaS,1-10,NA,paid,True,2024-10-04,2024-11-01,product_tour,8,4,1,47,589,47,0.471,1
LEAD_000023,Healthcare Company 23,Contact 23,contact23@company23.com,Marketing Director,Healthcare,201-1000,NA,referral,False,2025-04-27,2025-05-21,webinar,4,1,1,13,497,39,0.399,0
LEAD_000024,SaaS Company 24,Contact 24,contact24@company24.com,CEO,SaaS,51-200,EU,direct,False,2024-11-07,2024-11-15,trial_signup,7,1,2,79,3651,68,0.683,0
LEAD_000025,Finance Company 25,Contact 25,contact25@company25.com,CTO,Finance,51-200,NA,paid,True,2025-07-22,2025-08-03,content_download,4,2,2,130,2119,56,0.56,0
LEAD_000026,Manufacturing Company 26,Contact 26,contact26@company26.com,IT Director,Manufacturing,51-200,EU,direct,False,2025-07-31,2025-08-23,webinar,7,2,1,89,2073,42,0.425,0
LEAD_000027,E-commerce Company 27,Contact 27,contact27@company27.com,CEO,E-commerce,51-200,NA,direct,True,2025-02-12,2025-03-07,demo_request,7,6,5,5,1061,91,0.913,1
LEAD_000028,Healthcare Company 28,Contact 28,contact28@company28.com,Marketing Director,Healthcare,51-200,EU,referral,False,2025-01-17,2025-01-25,content_download,7,0,2,111,1444,57,0.573,0
LEAD_000029,Manufacturing Company 29,Contact 29,contact29@company29.com,VP Sales,Manufacturing,1-10,EU,paid,True,2024-10-01,2024-10-27,case_study_view,10,5,2,91,157,46,0.469,0
LEAD_000030,Healthcare Company 30,Contact 30,contact30@company30.com,CEO,Healthcare,5000+,EU,organic,True,2025-06-19,2025-06-30,pricing_page,4,0,1,62,1654,44,0.443,0
LEAD_000031,Finance Company 31,Contact 31,contact31@company31.com,CTO,Finance,11-50,APAC,social,False,2024-09-14,2024-10-02,email_open,1,0,0,87,1338,13,0.138,1
LEAD_000032,SaaS Company 32,Contact 32,contact32@company32.com,Operations Manager,SaaS,11-50,APAC,social,False,2025-04-28,2025-05-27,trial_signup,9,1,0,2,185,51,0.515,0
LEAD_000033,E-commerce Company 33,Contact 33,contact33@company33.com,CTO,E-commerce,1-10,LATAM,organic,True,2024-11-20,2024-11-25,pricing_page,6,0,0,4,644,22,0.223,0
LEAD_000034,Finance Company 34,Contact 34,contact34@company34.com,CTO,Finance,1001-5000,EU,paid,True,2025-09-04,2025-09-06,demo_request,2,1,2,122,417,59,0.594,1
LEAD_000035,SaaS Company 35,Contact 35,contact35@company35.com,CFO,SaaS,201-1000,NA,referral,False,2025-06-24,2025-07-05,trial_signup,7,1,3,61,1276,83,0.834,1
LEAD_000036,Retail Company 36,Contact 36,contact36@company36.com,Sales Manager,Retail,201-1000,NA,referral,False,2025-06-03,2025-06-05,webinar,9,2,2,151,2022,60,0.604,1
LEAD_000037,Manufacturing Company 37,Contact 37,contact37@company37.com,CTO,Manufacturing,1-10,NA,paid,True,2025-05-11,2025-06-07,contact_form,9,2,3,55,42,59,0.593,1
LEAD_000038,E-commerce Company 38,Contact 38,contact38@company38.com,Operations Manager,E-commerce,5000+,NA,referral,True,2025-03-18,2025-04-01,ad_click,3,0,1,68,857,31,0.312,0
LEAD_000039,SaaS Company 39,Contact 39,contact39@company39.com,Operations Manager,SaaS,1-10,EU,direct,True,2024-10-23,2024-10-27,product_tour,6,3,1,3,2496,39,0.39,1
LEAD_000040,Healthcare Company 40,Contact 40,contact40@company40.com,IT Director,Healthcare,51-200,EU,direct,False,2025-02-23,2025-03-22,product_tour,3,0,1,29,839,34,0.342,0
LEAD_000041,Education Company 41,Contact 41,contact41@company41.com,CFO,Education,51-200,NA,referral,True,2025-02-08,2025-03-04,pricing_page,9,6,3,45,1452,73,0.731,0
LEAD_000042,SaaS Company 42,Contact 42,contact42@company42.com,Business Analyst,SaaS,1001-5000,LATAM,referral,True,2025-03-13,2025-04-01,contact_form,0,0,2,113,7452,46,0.46,1
LEAD_000043,Retail Company 43,Contact 43,contact43@company43.com,CTO,Retail,1-10,NA,organic,True,2025-06-18,2025-06-25,product_tour,9,3,1,58,383,41,0.411,0
LEAD_000044,SaaS Company 44,Contact 44,contact44@company44.com,Business Analyst,SaaS,1001-5000,EU,referral,True,2025-01-29,2025-02-27,ad_click,9,3,2,12,3543,66,0.665,1
LEAD_000045,SaaS Company 45,Contact 45,contact45@company45.com,Business Analyst,SaaS,51-200,EU,referral,False,2025-03-30,2025-04-06,webinar,2,1,1,117,771,38,0.385,1
LEAD_000046,Healthcare Company 46,Contact 46,contact46@company46.com,Marketing Director,Healthcare,201-1000,EU,referral,False,2025-05-06,2025-05-21,pricing_page,2,0,0,54,1309,30,0.301,0
LEAD_000047,Healthcare Company 47,Contact 47,contact47@company47.com,VP Sales,Healthcare,1-10,EU,direct,True,2025-03-13,2025-03-14,ad_click,6,1,4,58,405,61,0.619,0
LEAD_000048,SaaS Company 48,Contact 48,contact48@company48.com,CEO,SaaS,1-10,NA,direct,False,2025-02-12,2025-02-25,case_study_view,6,1,0,97,556,28,0.28,0
LEAD_000049,Retail Company 49,Contact 49,contact49@company49.com,CTO,Retail,51-200,APAC,paid,False,2025-04-19,2025-05-19,ad_click,3,2,1,12,1953,28,0.284,1
LEAD_000050,Manufacturing Company 50,Contact 50,contact50@company50.com,CFO,Manufacturing,5000+,NA,organic,False,2025-08-04,2025-08-16,email_open,8,1,2,118,2695,54,0.549,0
LEAD_000051,Healthcare Company 51,Contact 51,contact51@company51.com,CEO,Healthcare,11-50,APAC,paid,False,2024-09-18,2024-09-19,case_study_view,5,0,1,59,210,33,0.333,1
LEAD_000052,Real Estate Company 52,Contact 52,contact52@company52.com,CTO,Real Estate,5000+,NA,social,False,2025-01-03,2025-01-05,case_study_view,4,0,1,5,917,33,0.338,0
LEAD_000053,Education Company 53,Contact 53,contact53@company53.com,VP Sales,Education,51-200,APAC,direct,False,2025-01-13,2025-01-21,trial_signup,12,4,1,141,1890,58,0.587,1
LEAD_000054,Finance Company 54,Contact 54,contact54@company54.com,Operations Manager,Finance,1-10,NA,organic,False,2025-06-14,2025-06-26,product_tour,8,4,4,107,468,75,0.756,1
LEAD_000055,E-commerce Company 55,Contact 55,contact55@company55.com,CFO,E-commerce,1-10,EU,direct,False,2024-11-29,2024-12-18,email_open,8,3,1,56,2085,35,0.354,0
LEAD_000056,Retail Company 56,Contact 56,contact56@company56.com,VP Sales,Retail,51-200,NA,organic,False,2025-02-14,2025-02-24,contact_form,6,0,2,69,500,49,0.493,1
LEAD_000057,SaaS Company 57,Contact 57,contact57@company57.com,IT Director,SaaS,1-10,APAC,organic,False,2025-06-02,2025-06-30,contact_form,10,5,4,97,96,86,0.862,1
LEAD_000058,SaaS Company 58,Contact 58,contact58@company58.com,CEO,SaaS,1001-5000,NA,direct,False,2025-01-20,2025-02-10,trial_signup,7,4,0,55,6588,54,0.549,0
LEAD_000059,Consulting Company 59,Contact 59,contact59@company59.com,CTO,Consulting,11-50,EU,paid,False,2025-08-03,2025-08-11,pricing_page,3,3,0,66,1541,24,0.249,0
LEAD_000060,E-commerce Company 60,Contact 60,contact60@company60.com,VP Sales,E-commerce,5000+,LATAM,organic,False,2025-06-09,2025-06-15,webinar,6,0,1,66,2761,36,0.365,0
LEAD_000061,Consulting Company 61,Contact 61,contact61@company61.com,CTO,Consulting,51-200,EU,direct,False,2025-06-20,2025-06-21,ad_click,5,0,1,60,1041,27,0.272,1
LEAD_000062,Retail Company 62,Contact 62,contact62@company62.com,Product Manager,Retail,51-200,NA,paid,False,2024-12-31,2025-01-11,email_open,4,2,1,164,484,33,0.33,0
LEAD_000063,Education Company 63,Contact 63,contact63@company63.com,Marketing Director,Education,11-50,EU,paid,True,2025-01-01,2025-01-23,contact_form,3,3,3,139,139,49,0.492,1
LEAD_000064,SaaS Company 64,Contact 64,contact64@company64.com,Business Analyst,SaaS,11-50,APAC,organic,False,2024-11-14,2024-11-22,webinar,8,0,3,145,218,66,0.664,0
LEAD_000065,Healthcare Company 65,Contact 65,contact65@company65.com,Business Analyst,Healthcare,201-1000,NA,social,False,2025-08-01,2025-08-26,contact_form,7,3,1,112,199,51,0.514,1
LEAD_000066,SaaS Company 66,Contact 66,contact66@company66.com,Marketing Director,SaaS,1-10,APAC,social,True,2025-06-21,2025-07-05,case_study_view,9,2,1,114,1166,38,0.387,0
LEAD_000067,SaaS Company 67,Contact 67,contact67@company67.com,VP Sales,SaaS,5000+,APAC,organic,True,2024-10-20,2024-11-19,contact_form,5,0,2,50,12251,56,0.568,0
